year,avg_raw,avg_adj,n
2017,52.58,51.002599999999994,1
2018,28.82,27.955399999999997,2
2019,44.975,43.62575,2
2020,34.205,33.17885,2
2021,29.122000000000003,19.760652538273646,5
2022,42.838,25.584139999999998,5
2023,44.564,25.02492,5
2024,48.27333333333333,27.521304371136015,3
2025,36.36,26.221266590627238,2
